"","id","lat","long","time","mean"
"1",1,40.7994,-73.95538,1,40.9549027505182
"2",1,40.7994,-73.95538,2,43.7256827963318
"3",1,40.7994,-73.95538,3,44.4283858146439
"4",1,40.7994,-73.95538,4,45.3619654825052
"5",1,40.7994,-73.95538,5,47.3527714305732
"6",1,40.7994,-73.95538,6,100.389775626522
"7",1,40.7994,-73.95538,7,97.9257348642462
"8",1,40.7994,-73.95538,8,93.8418691945277
"9",1,40.7994,-73.95538,9,91.5921063172939
"10",1,40.7994,-73.95538,10,91.0981792086083
"11",1,40.7994,-73.95538,11,92.1019444343249
"12",1,40.7994,-73.95538,12,101.71045414437
"13",1,40.7994,-73.95538,13,93.8813662588388
"14",1,40.7994,-73.95538,14,97.2343612165963
"15",1,40.7994,-73.95538,15,77.1481596767079
"16",1,40.7994,-73.95538,16,80.1466466989647
"17",1,40.7994,-73.95538,17,74.6657599922761
"18",1,40.7994,-73.95538,18,76.3808489452084
"19",1,40.7994,-73.95538,19,83.1836659640269
"20",1,40.7994,-73.95538,20,45.7560058452241
"21",1,40.7994,-73.95538,21,44.7774095817822
"22",1,40.7994,-73.95538,22,43.2204028481888
"23",1,40.7994,-73.95538,23,44.7989936416925
"24",1,40.7994,-73.95538,24,58.055756698045
