"","id","lat","long","time","mean"
"1",1,40.77911,-73.96906,1,43.357199566267
"2",1,40.77911,-73.96906,2,43.5231553973173
"3",1,40.77911,-73.96906,3,43.6123029473518
"4",1,40.77911,-73.96906,4,45.9704316878247
"5",1,40.77911,-73.96906,5,44.0896408573218
"6",1,40.77911,-73.96906,6,96.1899171796436
"7",1,40.77911,-73.96906,7,89.1050812066246
"8",1,40.77911,-73.96906,8,90.6227954469167
"9",1,40.77911,-73.96906,9,97.4138843495352
"10",1,40.77911,-73.96906,10,89.6321600695629
"11",1,40.77911,-73.96906,11,87.8738562667494
"12",1,40.77911,-73.96906,12,98.2898416803983
"13",1,40.77911,-73.96906,13,95.1621515950307
"14",1,40.77911,-73.96906,14,88.3126008197476
"15",1,40.77911,-73.96906,15,83.474585767363
"16",1,40.77911,-73.96906,16,73.9117048400328
"17",1,40.77911,-73.96906,17,78.1319856497417
"18",1,40.77911,-73.96906,18,77.2609064784811
"19",1,40.77911,-73.96906,19,76.8618924100418
"20",1,40.77911,-73.96906,20,41.8895583932975
"21",1,40.77911,-73.96906,21,45.2923333914901
"22",1,40.77911,-73.96906,22,44.6387624385474
"23",1,40.77911,-73.96906,23,46.4468792183902
"24",1,40.77911,-73.96906,24,28.975380159305
