"","id","lat","long","time","mean"
"1",1,40.779,-73.96237,1,43.7989372313576
"2",1,40.779,-73.96237,2,43.871809499897
"3",1,40.779,-73.96237,3,45.213774268794
"4",1,40.779,-73.96237,4,43.8177791778274
"5",1,40.779,-73.96237,5,48.7596970794805
"6",1,40.779,-73.96237,6,98.372678161683
"7",1,40.779,-73.96237,7,89.9718723541658
"8",1,40.779,-73.96237,8,101.836889000097
"9",1,40.779,-73.96237,9,104.80330596968
"10",1,40.779,-73.96237,10,97.4501175184766
"11",1,40.779,-73.96237,11,92.1662018504629
"12",1,40.779,-73.96237,12,97.8775156103263
"13",1,40.779,-73.96237,13,101.239165344664
"14",1,40.779,-73.96237,14,99.1018292456455
"15",1,40.779,-73.96237,15,76.6283944112455
"16",1,40.779,-73.96237,16,77.2518502290468
"17",1,40.779,-73.96237,17,73.5931915519852
"18",1,40.779,-73.96237,18,72.9799597146028
"19",1,40.779,-73.96237,19,76.5445722849104
"20",1,40.779,-73.96237,20,43.9764327816097
"21",1,40.779,-73.96237,21,45.748547674694
"22",1,40.779,-73.96237,22,43.6528808157698
"23",1,40.779,-73.96237,23,42.8291105423143
"24",1,40.779,-73.96237,24,11.9456915278783
