"","id","lat","long","time","mean"
"1",1,40.79821,-73.95251,1,43.0253692669743
"2",1,40.79821,-73.95251,2,45.5556711995113
"3",1,40.79821,-73.95251,3,44.6643167287184
"4",1,40.79821,-73.95251,4,44.9606801054154
"5",1,40.79821,-73.95251,5,45.266443561034
"6",1,40.79821,-73.95251,6,94.5393700790324
"7",1,40.79821,-73.95251,7,98.1794896844362
"8",1,40.79821,-73.95251,8,99.5354987906425
"9",1,40.79821,-73.95251,9,97.1921243733705
"10",1,40.79821,-73.95251,10,99.0482907807613
"11",1,40.79821,-73.95251,11,100.770662895077
"12",1,40.79821,-73.95251,12,96.8142376602851
"13",1,40.79821,-73.95251,13,95.3116550378904
"14",1,40.79821,-73.95251,14,95.8913591151118
"15",1,40.79821,-73.95251,15,95.673354836208
"16",1,40.79821,-73.95251,16,101.04876951635
"17",1,40.79821,-73.95251,17,93.69532486687
"18",1,40.79821,-73.95251,18,93.0047083764012
"19",1,40.79821,-73.95251,19,93.7749039102793
"20",1,40.79821,-73.95251,20,45.9678839090448
"21",1,40.79821,-73.95251,21,43.5498960559344
"22",1,40.79821,-73.95251,22,45.9283052063349
"23",1,40.79821,-73.95251,23,44.5776550795668
"24",1,40.79821,-73.95251,24,65.281679942071
