"","id","lat","long","time","mincurr","minnext","maxcurr","maxnext"
"1",4,891,927,1,8,16,61,8.5
"2",5,31,630,2,16,10.6666666666667,8.5,33.6666666666667
"3",58,852,439,3,10.6666666666667,1,33.6666666666667,17.5
"4",39,318,321,4,1,15.2,17.5,50
"5",28,416,263,5,15.2,4,50,5.83333333333333
"6",59,161,657,6,4,5.14285714285714,5.83333333333333,47.2857142857143
"7",34,43,994,7,5.14285714285714,24.375,47.2857142857143,5.49999999999999
"8",10,920,785,8,24.375,14.5555555555556,5.49999999999999,45.7777777777778
"9",33,233,921,9,14.5555555555556,6.7,45.7777777777778,3.4
"10",51,939,405,10,6.7,4.81818181818182,3.4,53.2727272727273
"11",4,957,901,11,4.81818181818182,22.1666666666667,53.2727272727273,8.91666666666667
"12",63,694,501,12,22.1666666666667,18.6153846153846,8.91666666666667,34.2307692307692
"13",46,653,325,13,18.6153846153846,6.85714285714286,34.2307692307692,38.7857142857143
"14",8,18,602,14,6.85714285714286,2.93333333333333,38.7857142857143,19.8
"15",40,384,180,15,2.93333333333333,25.375,19.8,56.4375
"16",18,682,678,16,25.375,19.1764705882353,56.4375,8.88235294117647
"17",60,671,998,17,19.1764705882353,14.3333333333333,8.88235294117647,39.7777777777778
"18",41,699,599,18,14.3333333333333,9.15789473684211,39.7777777777778,22.9473684210526
"19",34,487,45,19,9.15789473684211,20.75,22.9473684210526,39
"20",29,379,215,20,20.75,7.38095238095238,39,28.5714285714286
"21",7,741,796,21,7.38095238095238,2.27272727272727,28.5714285714286,11.8636363636364
"22",49,13,140,22,2.27272727272727,19.8260869565217,11.8636363636364,29.7826086956522
"23",8,772,682,23,19.8260869565217,9.75,29.7826086956522,27.0416666666667
"24",12,688,952,24,9.75,18.48,27.0416666666667,32.6
"25",46,523,536,25,18.48,9.15384615384615,32.6,41.7307692307692
"26",36,887,735,26,9.15384615384615,18.1481481481481,41.7307692307692,20.4814814814815
"27",47,893,531,27,18.1481481481481,4.67857142857143,20.4814814814815,51.6071428571429
"28",13,626,457,28,4.67857142857143,11.8965517241379,51.6071428571429,2.31034482758619
"29",59,49,135,29,11.8965517241379,6.86666666666667,2.31034482758619,60.6
"30",7,254,20,30,6.86666666666667,1.09677419354839,60.6,14.1290322580645
"31",49,196,277,31,1.09677419354839,3.78125,14.1290322580645,47.34375
"32",41,2,79,32,3.78125,20.5757575757576,47.34375,5.4848484848485
"33",37,638,926,33,20.5757575757576,18.8529411764706,5.4848484848485,52.9117647058823
"34",43,647,696,34,18.8529411764706,13.7428571428571,52.9117647058823,14.6571428571429
"35",53,526,61,35,13.7428571428571,4.13888888888889,14.6571428571429,35.3333333333333
"36",14,578,222,36,4.13888888888889,34.8918918918919,35.3333333333333,14.2702702702703
"37",38,303,778,37,34.8918918918919,14.5,14.2702702702703,47.4473684210526
"38",13,767,487,38,14.5,0.487179487179484,47.4473684210526,30.7435897435898
"39",17,860,271,39,0.487179487179484,17.075,30.7435897435898,27.55
"40",33,31,611,40,17.075,10.8048780487805,27.55,23.8536585365854
"41",16,795,731,41,10.8048780487805,4.09523809523809,23.8536585365854,43.0952380952381
"42",9,841,654,42,4.09523809523809,3.02325581395349,43.0952380952381,2.04651162790696
"43",42,70,160,43,3.02325581395349,23.4318181818182,2.04651162790696,74.2272727272727
"44",39,456,945,44,23.4318181818182,20.9555555555556,74.2272727272727,17.8222222222222
"45",4,121,354,45,20.9555555555556,0.0434782608695651,17.8222222222222,43.2173913043478
"46",11,557,875,46,0.0434782608695651,37.1489361702128,43.2173913043478,7.61702127659576
"47",61,341,246,47,37.1489361702128,28.5416666666667,7.61702127659576,54.2291666666667
"48",22,530,845,48,28.5416666666667,5.34693877551021,54.2291666666667,9.0408163265306
"49",14,33,127,49,5.34693877551021,10.44,9.0408163265306,44.06
"50",11,204,106,50,10.44,10.3529411764706,44.06,29.3529411764706
"51",42,309,358,51,10.3529411764706,4.26923076923077,29.3529411764706,16.3269230769231
"52",63,599,768,52,4.26923076923077,35.0566037735849,16.3269230769231,42.8490566037736
"53",8,664,264,53,35.0566037735849,1.90740740740741,42.8490566037736,11.9259259259259
"54",54,632,56,54,1.90740740740741,18.7454545454545,11.9259259259259,36.4
"55",65,735,129,55,18.7454545454545,14,36.4,14.3392857142857
